year	stock	age	CAA
1977	GBcod	6	NA
1978	GBcod	6	347.2
1979	GBcod	6	621.2
1980	GBcod	6	1162.6
1981	GBcod	6	1349.9
1982	GBcod	6	293.8
1983	GBcod	6	953.1
1984	GBcod	6	619.7
1985	GBcod	6	531.7
1986	GBcod	6	670.1
1987	GBcod	6	269.1
1988	GBcod	6	223.4
1989	GBcod	6	586.4
1990	GBcod	6	227.9
1991	GBcod	6	1078.0
1992	GBcod	6	477.4
1993	GBcod	6	581.3
1994	GBcod	6	101.1
1995	GBcod	6	58.2
1996	GBcod	6	188.1
1997	GBcod	6	156.7
1998	GBcod	6	316.2
1999	GBcod	6	127.4
2000	GBcod	6	91.5
2001	GBcod	6	185.9
2002	GBcod	6	378.3
2003	GBcod	6	152.1
2004	GBcod	6	253.8
2005	GBcod	6	143.7
2006	GBcod	6	71.9
2007	GBcod	6	138.4
2008	GBcod	6	21.6
2009	GBcod	6	210.1
2010	GBcod	6	26.2
2011	GBcod	6	89.4
2012	GBcod	6	60.3
2013	GBcod	6	11.7
2014	GBcod	6	10.9
1968	GBcod	7	NA
1969	GBcod	7	NA
1970	GBcod	7	NA
1971	GBcod	7	NA
1972	GBcod	7	NA
1973	GBcod	7	NA
1974	GBcod	7	NA
1975	GBcod	7	NA
1976	GBcod	7	NA
1977	GBcod	7	NA
1978	GBcod	7	287.2
1979	GBcod	7	200.6
1980	GBcod	7	461.3
1981	GBcod	7	432.6
1982	GBcod	7	752.1
1983	GBcod	7	181.6
1984	GBcod	7	484.2
1985	GBcod	7	277.9
1986	GBcod	7	98.4
1987	GBcod	7	289.7
1988	GBcod	7	168.5
1989	GBcod	7	89.6
1990	GBcod	7	229.1
1991	GBcod	7	137.8
1992	GBcod	7	408.6
1993	GBcod	7	190.4
1994	GBcod	7	166.3
1995	GBcod	7	61.4
1996	GBcod	7	20.2
1997	GBcod	7	119.2
1998	GBcod	7	48.0
1999	GBcod	7	145.8
2000	GBcod	7	46.8
2001	GBcod	7	55.1
2002	GBcod	7	84.9
2003	GBcod	7	142.0
2004	GBcod	7	56.4
2005	GBcod	7	109.4
2006	GBcod	7	31.4
2007	GBcod	7	16.9
2008	GBcod	7	48.3
2009	GBcod	7	12.9
2010	GBcod	7	76.1
2011	GBcod	7	20.8
2012	GBcod	7	21.3
2013	GBcod	7	4.1
2014	GBcod	7	2.3
1968	GBcod	8	NA
1969	GBcod	8	NA
1970	GBcod	8	NA
1971	GBcod	8	NA
1972	GBcod	8	NA
1973	GBcod	8	NA
1974	GBcod	8	NA
1975	GBcod	8	NA
1976	GBcod	8	NA
1977	GBcod	8	NA
1978	GBcod	8	45.8
1979	GBcod	8	330.8
1980	GBcod	8	97.0
1981	GBcod	8	156.4
1982	GBcod	8	212.9
1983	GBcod	8	319.4
1984	GBcod	8	57.6
1985	GBcod	8	242.3
1986	GBcod	8	79.3
1987	GBcod	8	61.3
1988	GBcod	8	235.5
1989	GBcod	8	58.2
1990	GBcod	8	24.0
1991	GBcod	8	95.6
1992	GBcod	8	59.1
1993	GBcod	8	156.1
1994	GBcod	8	54.2
1995	GBcod	8	26.6
1996	GBcod	8	12.7
1997	GBcod	8	25.6
1998	GBcod	8	19.8
1999	GBcod	8	24.3
2000	GBcod	8	39.4
2001	GBcod	8	25.8
2002	GBcod	8	17.9
2003	GBcod	8	27.7
2004	GBcod	8	48.6
2005	GBcod	8	22.6
2006	GBcod	8	28.8
2007	GBcod	8	10.5
2008	GBcod	8	4.6
2009	GBcod	8	14.1
2010	GBcod	8	3.5
2011	GBcod	8	23.5
2012	GBcod	8	1.6
2013	GBcod	8	2.7
2014	GBcod	8	0.9
1968	GBcod	9	NA
1969	GBcod	9	NA
1970	GBcod	9	NA
1971	GBcod	9	NA
1972	GBcod	9	NA
1973	GBcod	9	NA
1974	GBcod	9	NA
1975	GBcod	9	NA
1976	GBcod	9	NA
1977	GBcod	9	NA
1978	GBcod	9	40.9
1979	GBcod	9	11.0
1980	GBcod	9	151.1
1981	GBcod	9	162.2
1982	GBcod	9	83.1
1983	GBcod	9	125.7
1984	GBcod	9	198.4
1985	GBcod	9	36.7
1986	GBcod	9	62.2
1987	GBcod	9	39.4
1988	GBcod	9	60.8
1989	GBcod	9	69.4
1990	GBcod	9	19.8
1991	GBcod	9	27.9
1992	GBcod	9	45.1
1993	GBcod	9	49.4
1994	GBcod	9	39.6
1995	GBcod	9	11.3
1996	GBcod	9	11.8
1997	GBcod	9	9.2
1998	GBcod	9	4.9
1999	GBcod	9	3.9
2000	GBcod	9	4.4
2001	GBcod	9	15.0
2002	GBcod	9	10.7
2003	GBcod	9	6.4
2004	GBcod	9	11.0
2005	GBcod	9	8.8
2006	GBcod	9	4.0
2007	GBcod	9	8.8
2008	GBcod	9	2.8
2009	GBcod	9	1.8
2010	GBcod	9	4.0
2011	GBcod	9	3.0
2012	GBcod	9	1.3
2013	GBcod	9	0.1
2014	GBcod	9	0.5
1968	GBcod	10	NA
1969	GBcod	10	NA
1970	GBcod	10	NA
1971	GBcod	10	NA
1972	GBcod	10	NA
1973	GBcod	10	NA
1974	GBcod	10	NA
1975	GBcod	10	NA
1976	GBcod	10	NA
1977	GBcod	10	NA
1978	GBcod	10	32.2
1979	GBcod	10	56.9
1980	GBcod	10	43.1
1981	GBcod	10	76.4
1982	GBcod	10	92.3
1983	GBcod	10	133.7
1984	GBcod	10	112.7
1985	GBcod	10	116.9
1986	GBcod	10	29.2
1987	GBcod	10	27.3
1988	GBcod	10	51.6
1989	GBcod	10	31.1
1990	GBcod	10	36.0
1991	GBcod	10	29.8
1992	GBcod	10	13.3
1993	GBcod	10	34.6
1994	GBcod	10	5.6
1995	GBcod	10	1.5
1996	GBcod	10	0.5
1997	GBcod	10	3.9
1998	GBcod	10	2.0
1999	GBcod	10	0.8
2000	GBcod	10	0.6
2001	GBcod	10	1.6
2002	GBcod	10	8.4
2003	GBcod	10	3.0
2004	GBcod	10	5.1
2005	GBcod	10	3.8
2006	GBcod	10	3.4
2007	GBcod	10	1.1
2008	GBcod	10	1.3
2009	GBcod	10	0.8
2010	GBcod	10	0.6
2011	GBcod	10	1.4
2012	GBcod	10	0.4
2013	GBcod	10	0.2
2014	GBcod	10	0.3
1968	GBcod	11	NA
1969	GBcod	11	NA
1970	GBcod	11	NA
1971	GBcod	11	NA
1972	GBcod	11	NA
1973	GBcod	11	NA
1974	GBcod	11	NA
1975	GBcod	11	NA
1976	GBcod	11	NA
1977	GBcod	11	NA
1978	GBcod	11	NA
1979	GBcod	11	NA
1980	GBcod	11	NA
1981	GBcod	11	NA
1982	GBcod	11	NA
1983	GBcod	11	NA
1984	GBcod	11	NA
1985	GBcod	11	NA
1986	GBcod	11	NA
1987	GBcod	11	NA
1988	GBcod	11	NA
1989	GBcod	11	NA
1990	GBcod	11	NA
1991	GBcod	11	NA
1992	GBcod	11	NA
1993	GBcod	11	NA
1994	GBcod	11	NA
1995	GBcod	11	NA
1996	GBcod	11	NA
1997	GBcod	11	NA
1998	GBcod	11	NA
1999	GBcod	11	NA
2000	GBcod	11	NA
2001	GBcod	11	NA
2002	GBcod	11	NA
2003	GBcod	11	NA
2004	GBcod	11	NA
2005	GBcod	11	NA
2006	GBcod	11	NA
2007	GBcod	11	NA
2008	GBcod	11	NA
2009	GBcod	11	NA
2010	GBcod	11	NA
2011	GBcod	11	NA
2012	GBcod	11	NA
2013	GBcod	11	NA
2014	GBcod	11	NA
1982	GBwinter	1	116.0
1983	GBwinter	1	147.0
1984	GBwinter	1	138.0
1985	GBwinter	1	87.0
1986	GBwinter	1	38.0
1987	GBwinter	1	99.0
1988	GBwinter	1	72.0
1989	GBwinter	1	34.0
1990	GBwinter	1	36.0
1991	GBwinter	1	2.0
1992	GBwinter	1	23.0
1993	GBwinter	1	80.0
1994	GBwinter	1	8.0
1995	GBwinter	1	765.0
1996	GBwinter	1	35.0
1997	GBwinter	1	2.0
1998	GBwinter	1	0.0
1999	GBwinter	1	70.0
2000	GBwinter	1	52.0
2001	GBwinter	1	27.0
2002	GBwinter	1	0.0
2003	GBwinter	1	0.0
2004	GBwinter	1	3.0
2005	GBwinter	1	4.0
2006	GBwinter	1	4.0
2007	GBwinter	1	23.0
2008	GBwinter	1	15.0
2009	GBwinter	1	7.0
2010	GBwinter	1	3.0
2011	GBwinter	1	14.0
2012	GBwinter	1	2.0
2013	GBwinter	1	4.0
2014	GBwinter	1	22.0
1982	GBwinter	2	1058.0
1983	GBwinter	2	1838.0
1984	GBwinter	2	713.0
1985	GBwinter	2	1791.0
1986	GBwinter	2	1481.0
1987	GBwinter	2	2850.0
1988	GBwinter	2	1884.0
1989	GBwinter	2	3035.0
1990	GBwinter	2	687.0
1991	GBwinter	2	1302.0
1992	GBwinter	2	1638.0
1993	GBwinter	2	617.0
1994	GBwinter	2	783.0
1995	GBwinter	2	1443.0
1996	GBwinter	2	2737.0
1997	GBwinter	2	407.0
1998	GBwinter	2	21.0
1999	GBwinter	2	720.0
2000	GBwinter	2	1395.0
2001	GBwinter	2	782.0
2002	GBwinter	2	249.0
2003	GBwinter	2	533.0
2004	GBwinter	2	87.0
2005	GBwinter	2	265.0
2006	GBwinter	2	37.0
2007	GBwinter	2	152.0
2008	GBwinter	2	325.0
2009	GBwinter	2	786.0
2010	GBwinter	2	233.0
2011	GBwinter	2	170.0
2012	GBwinter	2	143.0
2013	GBwinter	2	194.0
2014	GBwinter	2	70.0
1982	GBwinter	3	3550.0
1983	GBwinter	3	5954.0
1984	GBwinter	3	1165.0
1985	GBwinter	3	1461.0
1986	GBwinter	3	2850.0
1987	GBwinter	3	3593.0
1988	GBwinter	3	5818.0
1989	GBwinter	3	2650.0
1990	GBwinter	3	4431.0
1991	GBwinter	3	2775.0
1992	GBwinter	3	1534.0
1993	GBwinter	3	2327.0
1994	GBwinter	3	1341.0
1995	GBwinter	3	354.0
1996	GBwinter	3	872.0
1997	GBwinter	3	1020.0
1998	GBwinter	3	2987.0
1999	GBwinter	3	1673.0
2000	GBwinter	3	2333.0
2001	GBwinter	3	2673.0
2002	GBwinter	3	1896.0
2003	GBwinter	3	1423.0
2004	GBwinter	3	594.0
2005	GBwinter	3	548.0
2006	GBwinter	3	306.0
2007	GBwinter	3	165.0
2008	GBwinter	3	459.0
2009	GBwinter	3	1235.0
2010	GBwinter	3	961.0
2011	GBwinter	3	877.0
2012	GBwinter	3	1009.0
2013	GBwinter	3	809.0
2014	GBwinter	3	326.0
1982	GBwinter	4	2179.0
1983	GBwinter	4	2983.0
1984	GBwinter	4	2803.0
1985	GBwinter	4	1711.0
1986	GBwinter	4	505.0
1987	GBwinter	4	1921.0
1988	GBwinter	4	1767.0
1989	GBwinter	4	1104.0
1990	GBwinter	4	1457.0
1991	GBwinter	4	2077.0
1992	GBwinter	4	1476.0
1993	GBwinter	4	918.0
1994	GBwinter	4	760.0
1995	GBwinter	4	291.0
1996	GBwinter	4	381.0
1997	GBwinter	4	456.0
1998	GBwinter	4	1730.0
1999	GBwinter	4	1109.0
2000	GBwinter	4	777.0
2001	GBwinter	4	1673.0
2002	GBwinter	4	1551.0
2003	GBwinter	4	1897.0
2004	GBwinter	4	861.0
2005	GBwinter	4	771.0
2006	GBwinter	4	301.0
2007	GBwinter	4	258.0
2008	GBwinter	4	330.0
2009	GBwinter	4	662.0
2010	GBwinter	4	704.0
2011	GBwinter	4	1145.0
2012	GBwinter	4	1169.0
2013	GBwinter	4	606.0
2014	GBwinter	4	439.0
1982	GBwinter	5	1061.0
1983	GBwinter	5	1131.0
1984	GBwinter	5	2879.0
1985	GBwinter	5	1034.0
1986	GBwinter	5	491.0
1987	GBwinter	5	285.0
1988	GBwinter	5	413.0
1989	GBwinter	5	319.0
1990	GBwinter	5	402.0
1991	GBwinter	5	297.0
1992	GBwinter	5	950.0
1993	GBwinter	5	650.0
1994	GBwinter	5	206.0
1995	GBwinter	5	217.0
1996	GBwinter	5	196.0
1997	GBwinter	5	179.0
1998	GBwinter	5	274.0
1999	GBwinter	5	312.0
2000	GBwinter	5	536.0
2001	GBwinter	5	1223.0
2002	GBwinter	5	910.0
2003	GBwinter	5	934.0
2004	GBwinter	5	525.0
2005	GBwinter	5	373.0
2006	GBwinter	5	146.0
2007	GBwinter	5	230.0
2008	GBwinter	5	226.0
2009	GBwinter	5	231.0
2010	GBwinter	5	242.0
2011	GBwinter	5	562.0
2012	GBwinter	5	730.0
2013	GBwinter	5	505.0
2014	GBwinter	5	182.0
1982	GBwinter	6	536.0
1983	GBwinter	6	423.0
1984	GBwinter	6	1298.0
1985	GBwinter	6	235.0
1986	GBwinter	6	281.0
1987	GBwinter	6	189.0
1988	GBwinter	6	188.0
1989	GBwinter	6	231.0
1990	GBwinter	6	99.0
1991	GBwinter	6	83.0
1992	GBwinter	6	187.0
1993	GBwinter	6	332.0
1994	GBwinter	6	105.0
1995	GBwinter	6	66.0
1996	GBwinter	6	203.0
1997	GBwinter	6	80.0
1998	GBwinter	6	91.0
1999	GBwinter	6	42.0
2000	GBwinter	6	392.0
2001	GBwinter	6	330.0
2002	GBwinter	6	483.0
2003	GBwinter	6	518.0
2004	GBwinter	6	238.0
2005	GBwinter	6	160.0
2006	GBwinter	6	61.0
2007	GBwinter	6	90.0
2008	GBwinter	6	118.0
2009	GBwinter	6	113.0
2010	GBwinter	6	97.0
2011	GBwinter	6	153.0
2012	GBwinter	6	176.0
2013	GBwinter	6	285.0
2014	GBwinter	6	241.0
1982	GBwinter	7	584.0
1983	GBwinter	7	1084.0
1984	GBwinter	7	1880.0
1985	GBwinter	7	211.0
1986	GBwinter	7	189.0
1987	GBwinter	7	259.0
1988	GBwinter	7	196.0
1989	GBwinter	7	131.0
1990	GBwinter	7	36.0
1991	GBwinter	7	132.0
1992	GBwinter	7	124.0
1993	GBwinter	7	95.0
1994	GBwinter	7	96.0
1995	GBwinter	7	83.0
1996	GBwinter	7	182.0
1997	GBwinter	7	87.0
1998	GBwinter	7	26.0
1999	GBwinter	7	43.0
2000	GBwinter	7	337.0
2001	GBwinter	7	207.0
2002	GBwinter	7	387.0
2003	GBwinter	7	821.0
2004	GBwinter	7	374.0
2005	GBwinter	7	229.0
2006	GBwinter	7	122.0
2007	GBwinter	7	96.0
2008	GBwinter	7	104.0
2009	GBwinter	7	107.0
2010	GBwinter	7	73.0
2011	GBwinter	7	100.0
2012	GBwinter	7	147.0
2013	GBwinter	7	115.0
2014	GBwinter	7	360.0
1982	GBwinter	8	NA
1983	GBwinter	8	NA
1984	GBwinter	8	NA
1985	GBwinter	8	NA
1986	GBwinter	8	NA
1987	GBwinter	8	NA
1988	GBwinter	8	NA
1989	GBwinter	8	NA
1990	GBwinter	8	NA
1991	GBwinter	8	NA
1992	GBwinter	8	NA
1993	GBwinter	8	NA
1994	GBwinter	8	NA
1995	GBwinter	8	NA
1996	GBwinter	8	NA
1997	GBwinter	8	NA
1998	GBwinter	8	NA
1999	GBwinter	8	NA
2000	GBwinter	8	NA
2001	GBwinter	8	NA
2002	GBwinter	8	NA
2003	GBwinter	8	NA
2004	GBwinter	8	NA
2005	GBwinter	8	NA
2006	GBwinter	8	NA
2007	GBwinter	8	NA
2008	GBwinter	8	NA
2009	GBwinter	8	NA
2010	GBwinter	8	NA
2011	GBwinter	8	NA
2012	GBwinter	8	NA
2013	GBwinter	8	NA
2014	GBwinter	8	NA
1982	GBwinter	9	NA
1983	GBwinter	9	NA
1984	GBwinter	9	NA
1985	GBwinter	9	NA
1986	GBwinter	9	NA
1987	GBwinter	9	NA
1988	GBwinter	9	NA
1989	GBwinter	9	NA
1990	GBwinter	9	NA
1991	GBwinter	9	NA
1992	GBwinter	9	NA
1993	GBwinter	9	NA
1994	GBwinter	9	NA
1995	GBwinter	9	NA
1996	GBwinter	9	NA
1997	GBwinter	9	NA
1998	GBwinter	9	NA
1999	GBwinter	9	NA
2000	GBwinter	9	NA
2001	GBwinter	9	NA
2002	GBwinter	9	NA
2003	GBwinter	9	NA
2004	GBwinter	9	NA
2005	GBwinter	9	NA
2006	GBwinter	9	NA
2007	GBwinter	9	NA
2008	GBwinter	9	NA
2009	GBwinter	9	NA
2010	GBwinter	9	NA
2011	GBwinter	9	NA
2012	GBwinter	9	NA
2013	GBwinter	9	NA
2014	GBwinter	9	NA
1982	GBwinter	10	NA
1983	GBwinter	10	NA
1984	GBwinter	10	NA
1985	GBwinter	10	NA
1986	GBwinter	10	NA
1987	GBwinter	10	NA
1988	GBwinter	10	NA
1989	GBwinter	10	NA
1990	GBwinter	10	NA
1991	GBwinter	10	NA
1992	GBwinter	10	NA
1993	GBwinter	10	NA
1994	GBwinter	10	NA
1995	GBwinter	10	NA
1996	GBwinter	10	NA
1997	GBwinter	10	NA
1998	GBwinter	10	NA
1999	GBwinter	10	NA
2000	GBwinter	10	NA
2001	GBwinter	10	NA
2002	GBwinter	10	NA
2003	GBwinter	10	NA
2004	GBwinter	10	NA
2005	GBwinter	10	NA
2006	GBwinter	10	NA
2007	GBwinter	10	NA
2008	GBwinter	10	NA
2009	GBwinter	10	NA
2010	GBwinter	10	NA
2011	GBwinter	10	NA
2012	GBwinter	10	NA
2013	GBwinter	10	NA
2014	GBwinter	10	NA
1966	GBhaddock	1	114.0
1967	GBhaddock	1	1150.0
1968	GBhaddock	1	8.0
1969	GBhaddock	1	2.0
1970	GBhaddock	1	46.0
1971	GBhaddock	1	1.0
1972	GBhaddock	1	159.6
1973	GBhaddock	1	2607.1
1974	GBhaddock	1	47.7
1975	GBhaddock	1	198.6
1976	GBhaddock	1	149.3
1977	GBhaddock	1	1.0
1978	GBhaddock	1	1.0
1979	GBhaddock	1	1.0
1980	GBhaddock	1	8.0
1981	GBhaddock	1	1.0
1982	GBhaddock	1	1.0
1983	GBhaddock	1	0.0
1984	GBhaddock	1	0.0
1985	GBhaddock	1	0.0
1986	GBhaddock	1	6.1
1987	GBhaddock	1	0.0
1988	GBhaddock	1	4.1
1989	GBhaddock	1	1.9
1990	GBhaddock	1	62.9
1991	GBhaddock	1	7.0
1992	GBhaddock	1	83.6
1993	GBhaddock	1	33.0
1994	GBhaddock	1	27.3
1995	GBhaddock	1	17.0
1996	GBhaddock	1	6.8
1997	GBhaddock	1	14.5
1998	GBhaddock	1	6.0
1999	GBhaddock	1	2.6
2000	GBhaddock	1	1.6
2001	GBhaddock	1	14.0
2002	GBhaddock	1	2.9
2003	GBhaddock	1	4.5
2004	GBhaddock	1	646.0
2005	GBhaddock	1	19.5
2006	GBhaddock	1	164.4
2007	GBhaddock	1	19.2
2008	GBhaddock	1	7.9
2009	GBhaddock	1	18.1
2010	GBhaddock	1	34.9
2011	GBhaddock	1	490.9
2012	GBhaddock	1	49.2
2013	GBhaddock	1	53.3
2014	GBhaddock	1	5333.0
1966	GBhaddock	2	6843.0
1967	GBhaddock	2	168.0
1968	GBhaddock	2	2994.0
1969	GBhaddock	2	11.0
1970	GBhaddock	2	158.0
1971	GBhaddock	2	1375.0
1972	GBhaddock	2	2.0
1973	GBhaddock	2	2113.1
1974	GBhaddock	2	4481.1
1975	GBhaddock	2	1069.5
1976	GBhaddock	2	490.5
1977	GBhaddock	2	19857.7
1978	GBhaddock	2	767.0
1979	GBhaddock	2	26.2
1980	GBhaddock	2	31170.3
1981	GBhaddock	2	1755.4
1982	GBhaddock	2	1173.7
1983	GBhaddock	2	216.1
1984	GBhaddock	2	94.1
1985	GBhaddock	2	2463.7
1986	GBhaddock	2	54.7
1987	GBhaddock	2	2035.1
1988	GBhaddock	2	53.2
1989	GBhaddock	2	1462.2
1990	GBhaddock	2	11.6
1991	GBhaddock	2	486.1
1992	GBhaddock	2	265.1
1993	GBhaddock	2	363.3
1994	GBhaddock	2	537.5
1995	GBhaddock	2	93.5
1996	GBhaddock	2	56.4
1997	GBhaddock	2	143.3
1998	GBhaddock	2	230.1
1999	GBhaddock	2	43.2
2000	GBhaddock	2	406.6
2001	GBhaddock	2	145.1
2002	GBhaddock	2	396.7
2003	GBhaddock	2	17.7
2004	GBhaddock	2	33.0
2005	GBhaddock	2	612.4
2006	GBhaddock	2	18.4
2007	GBhaddock	2	180.9
2008	GBhaddock	2	40.8
2009	GBhaddock	2	132.8
2010	GBhaddock	2	59.5
2011	GBhaddock	2	134.3
2012	GBhaddock	2	929.8
2013	GBhaddock	2	265.6
2014	GBhaddock	2	693.8
1966	GBhaddock	3	100810.0
1967	GBhaddock	3	2891.0
1968	GBhaddock	3	709.0
1969	GBhaddock	3	1698.0
1970	GBhaddock	3	16.0
1971	GBhaddock	3	223.0
1972	GBhaddock	3	460.4
1973	GBhaddock	3	3.1
1974	GBhaddock	3	681.5
1975	GBhaddock	3	1928.0
1976	GBhaddock	3	570.4
1977	GBhaddock	3	189.6
1978	GBhaddock	3	14509.1
1979	GBhaddock	3	1742.5
1980	GBhaddock	3	348.9
1981	GBhaddock	3	11076.4
1982	GBhaddock	3	1645.1
1983	GBhaddock	3	821.1
1984	GBhaddock	3	300.6
