year	stock	survey	n_tow	kg_tow		
1971	GBhaddock	NMFS spring BTS	2.9	5		
1972	GBhaddock	NMFS spring BTS	6.5	7.5		
1973	GBhaddock	NMFS spring BTS	37.5	15.4		
1974	GBhaddock	NMFS spring BTS	19	17.7		
1975	GBhaddock	NMFS spring BTS	6.2	8.2		
1976	GBhaddock	NMFS spring BTS	83.2	15.7		
1977	GBhaddock	NMFS spring BTS	36.9	26.6		
1978	GBhaddock	NMFS spring BTS	19.4	31.3		
1979	GBhaddock	NMFS spring BTS	49.7	20.3		
1980	GBhaddock	NMFS spring BTS	59.8	53.8		
1981	GBhaddock	NMFS spring BTS	31.2	38.1		
1982	GBhaddock	NMFS spring BTS	8.9	13.1		
1983	GBhaddock	NMFS spring BTS	5.6	13.2		
1984	GBhaddock	NMFS spring BTS	6.3	7.4		
1985	GBhaddock	NMFS spring BTS	8.9	11.1		
1986	GBhaddock	NMFS spring BTS	5.9	5.9		
1987	GBhaddock	NMFS spring BTS	5	5.6		
1988	GBhaddock	NMFS spring BTS	3.4	3.4		
1989	GBhaddock	NMFS spring BTS	5.3	4.7		
1990	GBhaddock	NMFS spring BTS	7.7	7.6		
1991	GBhaddock	NMFS spring BTS	4	4.4		
1992	GBhaddock	NMFS spring BTS	1.2	1.4		
1993	GBhaddock	NMFS spring BTS	2.7	2.5		
1994	GBhaddock	NMFS spring BTS	4.9	3.6		
1995	GBhaddock	NMFS spring BTS	5.6	5.7		
1996	GBhaddock	NMFS spring BTS	23.4	25.7		
1997	GBhaddock	NMFS spring BTS	12.9	18.5		
1998	GBhaddock	NMFS spring BTS	7.3	6.1		
1999	GBhaddock	NMFS spring BTS	16.6	7.7		
2000	GBhaddock	NMFS spring BTS	14.3	17.9		
2001	GBhaddock	NMFS spring BTS	14.9	6.1		
2002	GBhaddock	NMFS spring BTS	32.2	22.3		
2003	GBhaddock	NMFS spring BTS	14.8	15.6		
2004	GBhaddock	NMFS spring BTS	140.5	41.4		
2005	GBhaddock	NMFS spring BTS	59.8	17.7		
2006	GBhaddock	NMFS spring BTS	37.3	17.3		
2007	GBhaddock	NMFS spring BTS	57.3	34.6		
2008	GBhaddock	NMFS spring BTS	27.7	23.8		
2009	GBhaddock	NMFS spring BTS	19.5	29.1		
2010	GBhaddock	NMFS spring BTS	25.8	43.1		
2011	GBhaddock	NMFS spring BTS	66.2	20.9		
2012	GBhaddock	NMFS spring BTS	84.5	46.7		
2013	GBhaddock	NMFS spring BTS	55	47.6		
2014	GBhaddock	NMFS spring BTS	673.7	210.1		
1968	GByt	NMFS spring BTS	7.778	2.791		
1969	GByt	NMFS spring BTS	26.761	11.17		
1970	GByt	NMFS spring BTS	13.911	5.146		
1971	GByt	NMFS spring BTS	13.564	4.619		
1972	GByt	NMFS spring BTS	19.185	6.455		
1973	GByt	NMFS spring BTS	9.297	2.939		
1974	GByt	NMFS spring BTS	6.292	2.72		
1975	GByt	NMFS spring BTS	4.83	1.676		
1976	GByt	NMFS spring BTS	7.301	2.273		
1977	GByt	NMFS spring BTS	2.277	0.999		
1978	GByt	NMFS spring BTS	2.507	0.742		
1979	GByt	NMFS spring BTS	3.32	1.271		
1980	GByt	NMFS spring BTS	11.078	4.456		
1981	GByt	NMFS spring BTS	3.806	1.96		
1982	GByt	NMFS spring BTS	6.513	2.5		
1983	GByt	NMFS spring BTS	5.491	2.642		
1984	GByt	NMFS spring BTS	2.866	1.646		
1985	GByt	NMFS spring BTS	3.001	0.988		
1986	GByt	NMFS spring BTS	2.372	0.847		
1987	GByt	NMFS spring BTS	0.481	0.329		
1988	GByt	NMFS spring BTS	1.187	0.566		
1989	GByt	NMFS spring BTS	1.606	0.729		
1990	GByt	NMFS spring BTS	1.762	0.699		
1991	GByt	NMFS spring BTS	1.658	0.631		
1992	GByt	NMFS spring BTS	4.768	1.566		
1993	GByt	NMFS spring BTS	1.181	0.482		
1994	GByt	NMFS spring BTS	1.793	0.66		
1995	GByt	NMFS spring BTS	8.166	2.579		
1996	GByt	NMFS spring BTS	7.007	2.853		
1997	GByt	NMFS spring BTS	9.838	4.359		
1998	GByt	NMFS spring BTS	5.401	2.324		
1999	GByt	NMFS spring BTS	20.738	9.307		
2000	GByt	NMFS spring BTS	16.919	6.696		
2001	GByt	NMFS spring BTS	12.226	5.006		
2002	GByt	NMFS spring BTS	21.624	9.563		
2003	GByt	NMFS spring BTS	15.516	6.722		
2004	GByt	NMFS spring BTS	4.421	1.891		
2005	GByt	NMFS spring BTS	9.882	3.407		
2006	GByt	NMFS spring BTS	7.543	2.42		
2007	GByt	NMFS spring BTS	14.932	4.701		
2008	GByt	NMFS spring BTS	9.414	3.247		
2009	GByt	NMFS spring BTS	14.103	4.856		
2010	GByt	NMFS spring BTS	17.949	5.944		
2011	GByt	NMFS spring BTS	8.412	2.561		
2012	GByt	NMFS spring BTS	12.347	3.995		
2013	GByt	NMFS spring BTS	3.612	1.104		
2014	GByt	NMFS spring BTS	2.185	0.74		
2015	GByt	NMFS spring BTS	1.533	0.507		
2016	GByt	NMFS spring BTS	0.749	0.312		
1963	GOMcod	NMFS spring BTS	NA	NA		
1964	GOMcod	NMFS spring BTS	NA	NA		
1965	GOMcod	NMFS spring BTS	NA	NA		
1966	GOMcod	NMFS spring BTS	NA	NA		
1967	GOMcod	NMFS spring BTS	NA	NA		
1968	GOMcod	NMFS spring BTS	5.329	17.48		
1969	GOMcod	NMFS spring BTS	3.215	13.1		
1970	GOMcod	NMFS spring BTS	2.191	11.089		
1971	GOMcod	NMFS spring BTS	1.429	7.004		
1972	GOMcod	NMFS spring BTS	2.057	8.031		
1973	GOMcod	NMFS spring BTS	7.525	18.807		
1974	GOMcod	NMFS spring BTS	2.902	7.419		
1975	GOMcod	NMFS spring BTS	2.512	6.039		
1976	GOMcod	NMFS spring BTS	2.782	7.556		
1977	GOMcod	NMFS spring BTS	3.872	8.541		
1978	GOMcod	NMFS spring BTS	2.05	7.697		
1979	GOMcod	NMFS spring BTS	3.644	7.555		
1980	GOMcod	NMFS spring BTS	2.155	6.232		
1981	GOMcod	NMFS spring BTS	4.832	10.65		
1982	GOMcod	NMFS spring BTS	3.763	8.616		
1983	GOMcod	NMFS spring BTS	3.912	10.962		
1984	GOMcod	NMFS spring BTS	3.667	6.143		
1985	GOMcod	NMFS spring BTS	2.517	7.645		
1986	GOMcod	NMFS spring BTS	1.957	3.476		
1987	GOMcod	NMFS spring BTS	1.083	1.976		
1988	GOMcod	NMFS spring BTS	3.127	3.603		
1989	GOMcod	NMFS spring BTS	2.112	2.424		
1990	GOMcod	NMFS spring BTS	2.362	3.077		
1991	GOMcod	NMFS spring BTS	2.393	2.891		
1992	GOMcod	NMFS spring BTS	2.435	8.627		
1993	GOMcod	NMFS spring BTS	2.507	5.875		
1994	GOMcod	NMFS spring BTS	1.271	2.428		
1995	GOMcod	NMFS spring BTS	1.93	2.432		
1996	GOMcod	NMFS spring BTS	2.465	5.427		
1997	GOMcod	NMFS spring BTS	2.192	5.616		
1998	GOMcod	NMFS spring BTS	1.71	4.18		
1999	GOMcod	NMFS spring BTS	2.301	5.09		
2000	GOMcod	NMFS spring BTS	3.083	3.211		
2001	GOMcod	NMFS spring BTS	2.147	6.215		
2002	GOMcod	NMFS spring BTS	3.724	10.934		
2003	GOMcod	NMFS spring BTS	3.677	9.495		
2004	GOMcod	NMFS spring BTS	0.981	2.412		
2005	GOMcod	NMFS spring BTS	1.765	2.701		
2006	GOMcod	NMFS spring BTS	1.363	2.702		
2007	GOMcod	NMFS spring BTS	12.393	15.811		
2008	GOMcod	NMFS spring BTS	7.99	10.823		
2009	GOMcod	NMFS spring BTS	3.599	7.161		
2010	GOMcod	NMFS spring BTS	1.296	3.336		
2011	GOMcod	NMFS spring BTS	0.894	2.133		
2012	GOMcod	NMFS spring BTS	0.893	1.645		
2013	GOMcod	NMFS spring BTS	0.909	1.678		
2014	GOMcod	NMFS spring BTS	0.582	1.323		
1968	witch	NMFS spring BTS	4.71	3.27		
1969	witch	NMFS spring BTS	3.73	2.59		
1970	witch	NMFS spring BTS	6.39	4.5		
1971	witch	NMFS spring BTS	2.74	2.04		
1972	witch	NMFS spring BTS	5.35	4.01		
1973	witch	NMFS spring BTS	8.2	6.21		
1974	witch	NMFS spring BTS	6.23	3.62		
1975	witch	NMFS spring BTS	3.72	2.75		
1976	witch	NMFS spring BTS	5.5	3.7		
1977	witch	NMFS spring BTS	4.2	1.96		
1978	witch	NMFS spring BTS	3.87	2.56		
1979	witch	NMFS spring BTS	2.91	1.71		
1980	witch	NMFS spring BTS	8.46	3.89		
1981	witch	NMFS spring BTS	8.14	4.05		
1982	witch	NMFS spring BTS	3.64	1.87		
1983	witch	NMFS spring BTS	6.41	2.74		
1984	witch	NMFS spring BTS	3	1.66		
1985	witch	NMFS spring BTS	5.18	2.75		
1986	witch	NMFS spring BTS	2.07	1.35		
1987	witch	NMFS spring BTS	1.01	0.65		
1988	witch	NMFS spring BTS	1.43	0.85		
1989	witch	NMFS spring BTS	1.95	0.74		
1990	witch	NMFS spring BTS	0.63	0.24		
1991	witch	NMFS spring BTS	1.68	0.57		
1992	witch	NMFS spring BTS	1.26	0.48		
1993	witch	NMFS spring BTS	1.47	0.36		
1994	witch	NMFS spring BTS	3.13	0.53		
1995	witch	NMFS spring BTS	1.88	0.47		
1996	witch	NMFS spring BTS	1.36	0.28		
1997	witch	NMFS spring BTS	2.22	0.43		
1998	witch	NMFS spring BTS	4.27	0.77		
1999	witch	NMFS spring BTS	3.15	0.48		
2000	witch	NMFS spring BTS	3.45	0.52		
2001	witch	NMFS spring BTS	4.41	0.75		
2002	witch	NMFS spring BTS	8.1	1.61		
2003	witch	NMFS spring BTS	5.2	1.3		
2004	witch	NMFS spring BTS	3.8	1.08		
2005	witch	NMFS spring BTS	3.36	0.89		
2006	witch	NMFS spring BTS	3.09	0.72		
2007	witch	NMFS spring BTS	2.37	0.58		
2008	witch	NMFS spring BTS	7.45	1.4		
2009	witch	NMFS spring BTS	2.2	0.5		
2010	witch	NMFS spring BTS	2.49	0.54		
1968	SNEMAyt	NMFS spring BTS	102.7	23.9		
1969	SNEMAyt	NMFS spring BTS	81.8	18.3		
1970	SNEMAyt	NMFS spring BTS	62	15.4		
1971	SNEMAyt	NMFS spring BTS	50	12.2		
1972	SNEMAyt	NMFS spring BTS	51.6	13.8		
1973	SNEMAyt	NMFS spring BTS	27.5	7.9		
1974	SNEMAyt	NMFS spring BTS	11	3.6		
1975	SNEMAyt	NMFS spring BTS	2.9	1		
1976	SNEMAyt	NMFS spring BTS	3.6	1.1		
1977	SNEMAyt	NMFS spring BTS	4.2	1.3		
1978	SNEMAyt	NMFS spring BTS	11.2	2.6		
1979	SNEMAyt	NMFS spring BTS	3.5	0.8		
1980	SNEMAyt	NMFS spring BTS	8.8	3.2		
1981	SNEMAyt	NMFS spring BTS	16.2	4.4		
1982	SNEMAyt	NMFS spring BTS	26	6.4		
1983	SNEMAyt	NMFS spring BTS	18.2	5.2		
1984	SNEMAyt	NMFS spring BTS	5	1.7		
1985	SNEMAyt	NMFS spring BTS	3.6	0.9		
1986	SNEMAyt	NMFS spring BTS	4.2	1.1		
1987	SNEMAyt	NMFS spring BTS	1	0.3		
1988	SNEMAyt	NMFS spring BTS	1.2	0.4		
1989	SNEMAyt	NMFS spring BTS	10.2	1.8		
1990	SNEMAyt	NMFS spring BTS	15.5	4.3		
1991	SNEMAyt	NMFS spring BTS	6.9	2.1		
1992	SNEMAyt	NMFS spring BTS	2.2	0.8		
1993	SNEMAyt	NMFS spring BTS	0.9	0.3		
1994	SNEMAyt	NMFS spring BTS	0.3	0.1		
1995	SNEMAyt	NMFS spring BTS	1.4	0.3		
1996	SNEMAyt	NMFS spring BTS	2.3	0.7		
1997	SNEMAyt	NMFS spring BTS	2.5	0.8		
1998	SNEMAyt	NMFS spring BTS	3.7	0.8		
1999	SNEMAyt	NMFS spring BTS	3.1	1.1		
2000	SNEMAyt	NMFS spring BTS	2.9	1		
2001	SNEMAyt	NMFS spring BTS	1.6	0.7		
2002	SNEMAyt	NMFS spring BTS	1.7	0.5		
2003	SNEMAyt	NMFS spring BTS	0.4	0.2		
2004	SNEMAyt	NMFS spring BTS	0.6	0.2		
2005	SNEMAyt	NMFS spring BTS	0.7	0.2		
2006	SNEMAyt	NMFS spring BTS	2	0.4		
2007	SNEMAyt	NMFS spring BTS	1.5	0.4		
2008	SNEMAyt	NMFS spring BTS	1.3	0.4		
2009	SNEMAyt	NMFS spring BTS	2	0.7		
2010	SNEMAyt	NMFS spring BTS	2.8	0.8		
2011	SNEMAyt	NMFS spring BTS	2.3	0.7		
1981	SNEMAwinter	NMFS spring BTS	16901	6446.098		
1982	SNEMAwinter	NMFS spring BTS	9638	3162.248		
1983	SNEMAwinter	NMFS spring BTS	8805	4176.126		
1984	SNEMAwinter	NMFS spring BTS	7438	3010.694		
1985	SNEMAwinter	NMFS spring BTS	8608	3022.327		
1986	SNEMAwinter	NMFS spring BTS	3828	1598.376		
1987	SNEMAwinter	NMFS spring BTS	2942	1043.49		
1988	SNEMAwinter	NMFS spring BTS	3624	1374.333		
1989	SNEMAwinter	NMFS spring BTS	3766	1345.374		
1990	SNEMAwinter	NMFS spring BTS	3827	1434.613		
1991	SNEMAwinter	NMFS spring BTS	4169	1741.244		
1992	SNEMAwinter	NMFS spring BTS	2672	1121.237		
1993	SNEMAwinter	NMFS spring BTS	1649	662.485		
1994	SNEMAwinter	NMFS spring BTS	2862	1296.594		
1995	SNEMAwinter	NMFS spring BTS	3762	1701.179		
1996	SNEMAwinter	NMFS spring BTS	2858	1308.075		
1997	SNEMAwinter	NMFS spring BTS	2652	1330.538		
1998	SNEMAwinter	NMFS spring BTS	4711	1932.436		
1999	SNEMAwinter	NMFS spring BTS	7651	2987.342		
2000	SNEMAwinter	NMFS spring BTS	5928	2958.352		
2001	SNEMAwinter	NMFS spring BTS	3011	1573.436		
2002	SNEMAwinter	NMFS spring BTS	3215	1711.511		
2003	SNEMAwinter	NMFS spring BTS	1330	714.665		
2004	SNEMAwinter	NMFS spring BTS	2102	1021.095		
2005	SNEMAwinter	NMFS spring BTS	1817	835.911		
2006	SNEMAwinter	NMFS spring BTS	3416	1413.468		
2007	SNEMAwinter	NMFS spring BTS	1553	837.246		
2008	SNEMAwinter	NMFS spring BTS	2375	966.437		
2009	SNEMAwinter	NMFS spring BTS	1984	1013.741		
2010	SNEMAwinter	NMFS spring BTS	1960	834.442		
2011	SNEMAwinter	NMFS spring BTS	1275	633.147		
2012	SNEMAwinter	NMFS spring BTS	2251	1226.892		
2013	SNEMAwinter	NMFS spring BTS	915	550.124		
2014	SNEMAwinter	NMFS spring BTS	1223	623.507		
1968	plaice	NMFS spring BTS	11.2	3.3		
1969	plaice	NMFS spring BTS	8.3	2.6		
1970	plaice	NMFS spring BTS	5.4	1.8		
1971	plaice	NMFS spring BTS	3.8	1.3		
1972	plaice	NMFS spring BTS	4.3	1.3		
1973	plaice	NMFS spring BTS	7.2	1.9		
1974	plaice	NMFS spring BTS	8.3	1.9		
1975	plaice	NMFS spring BTS	5.8	1.7		
1976	plaice	NMFS spring BTS	11.9	3.4		
1977	plaice	NMFS spring BTS	14.6	5.1		
1978	plaice	NMFS spring BTS	10.6	3.8		
1979	plaice	NMFS spring BTS	9.2	3.5		
1980	plaice	NMFS spring BTS	18.3	4.8		
1981	plaice	NMFS spring BTS	18.7	5.9		
1982	plaice	NMFS spring BTS	11.6	3.8		
1983	plaice	NMFS spring BTS	16.9	4.6		
1984	plaice	NMFS spring BTS	4.1	1.4		
1985	plaice	NMFS spring BTS	4.9	1.9		
1986	plaice	NMFS spring BTS	3.1	0.9		
1987	plaice	NMFS spring BTS	3.5	0.8		
1988	plaice	NMFS spring BTS	3.6	0.8		
1989	plaice	NMFS spring BTS	4.8	0.7		
1990	plaice	NMFS spring BTS	5.1	0.8		
1991	plaice	NMFS spring BTS	5.9	1		
1992	plaice	NMFS spring BTS	4.1	1.4		
1993	plaice	NMFS spring BTS	5.3	1.4		
1994	plaice	NMFS spring BTS	4.9	0.9		
1995	plaice	NMFS spring BTS	9.4	1.9		
1996	plaice	NMFS spring BTS	7.8	1.7		
1997	plaice	NMFS spring BTS	7.6	1.6		
1998	plaice	NMFS spring BTS	4.5	1.1		
1999	plaice	NMFS spring BTS	4.2	1.2		
2000	plaice	NMFS spring BTS	10	2.3		
2001	plaice	NMFS spring BTS	10.6	2.2		
2002	plaice	NMFS spring BTS	6.7	1.8		
2003	plaice	NMFS spring BTS	4.2	0.9		
2004	plaice	NMFS spring BTS	8.2	1.4		
2005	plaice	NMFS spring BTS	5	0.8		
2006	plaice	NMFS spring BTS	7.4	1		
2007	plaice	NMFS spring BTS	10	1.3		
2008	plaice	NMFS spring BTS	8.1	1.5		
2009	plaice	NMFS spring BTS	6.6	1		
2010	plaice	NMFS spring BTS	7.1	1.2		
2011	plaice	NMFS spring BTS	5.6	1		
2012	plaice	NMFS spring BTS	5.5	1		
2013	plaice	NMFS spring BTS	3.6	0.8		
2014	plaice	NMFS spring BTS	9.1	1.7		
1985	CCGOMyt	NMFS spring BTS	767.00	270.62		
1986	CCGOMyt	NMFS spring BTS	821.00	248.41		
1987	CCGOMyt	NMFS spring BTS	2079.00	1044.27		
1988	CCGOMyt	NMFS spring BTS	2425.00	663.02		
1989	CCGOMyt	NMFS spring BTS	1187.00	460.08		
1990	CCGOMyt	NMFS spring BTS	2706.00	953.99		
1991	CCGOMyt	NMFS spring BTS	2546.00	809.39		
1992	CCGOMyt	NMFS spring BTS	1209.00	355.90		
1993	CCGOMyt	NMFS spring BTS	873.00	269.33		
1994	CCGOMyt	NMFS spring BTS	2070.00	697.57		
1995	CCGOMyt	NMFS spring BTS	3286.00	1237.68		
1996	CCGOMyt	NMFS spring BTS	1644.00	693.18		
1997	CCGOMyt	NMFS spring BTS	1683.00	666.32		
1998	CCGOMyt	NMFS spring BTS	1762.00	740.40		
1999	CCGOMyt	NMFS spring BTS	2072.00	975.86		
2000	CCGOMyt	NMFS spring BTS	11094.00	4613.15		
2001	CCGOMyt	NMFS spring BTS	2731.00	1186.10		
2002	CCGOMyt	NMFS spring BTS	4595.00	2164.50		
2003	CCGOMyt	NMFS spring BTS	2238.00	1046.68		
2004	CCGOMyt	NMFS spring BTS	1526.00	524.34		
2005	CCGOMyt	NMFS spring BTS	2221.00	859.56		
2006	CCGOMyt	NMFS spring BTS	2317.00	917.48		
2007	CCGOMyt	NMFS spring BTS	4955.00	2057.97		
2008	CCGOMyt	NMFS spring BTS	4474.00	1750.17		
2009	CCGOMyt	NMFS spring BTS	6171.00	2464.11		
2010	CCGOMyt	NMFS spring BTS	7121.00	3010.84		
2011	CCGOMyt	NMFS spring BTS	4354.00	1954.21		
2012	CCGOMyt	NMFS spring BTS	7504.00	3042.72		
2013	CCGOMyt	NMFS spring BTS	7463.00	2901.92		
2014	CCGOMyt	NMFS spring BTS	7398.00	2631.25		
1970	pollock	NMFS spring BTS	1.092	4.67989		
1971	pollock	NMFS spring BTS	0.8	4.63222		
1972	pollock	NMFS spring BTS	3.376	2.1932		
1973	pollock	NMFS spring BTS	4.564	1.19132		
1974	pollock	NMFS spring BTS	1.343	3.26179		
1975	pollock	NMFS spring BTS	1.428	4.09798		
1976	pollock	NMFS spring BTS	1.687	4.42217		
1977	pollock	NMFS spring BTS	1.606	2.49928		
1978	pollock	NMFS spring BTS	1.941	2.54616		
1979	pollock	NMFS spring BTS	0.945	3.82689		
1980	pollock	NMFS spring BTS	1.427	2.74651		
1981	pollock	NMFS spring BTS	1.427	3.78767		
1982	pollock	NMFS spring BTS	3.96	1.70877		
1983	pollock	NMFS spring BTS	0.877	1.83705		
1984	pollock	NMFS spring BTS	1.027	2.79403		
1985	pollock	NMFS spring BTS	15.202	2.20786		
1986	pollock	NMFS spring BTS	1.882	4.22659		
1987	pollock	NMFS spring BTS	1.656	1.68776		
1988	pollock	NMFS spring BTS	0.778	2.29519		
1989	pollock	NMFS spring BTS	1.9	3.05554		
1990	pollock	NMFS spring BTS	0.645	3.06515		
1991	pollock	NMFS spring BTS	2.052	2.3443		
1992	pollock	NMFS spring BTS	1.753	1.9636		
1993	pollock	NMFS spring BTS	1.622	1.03759		
1994	pollock	NMFS spring BTS	0.581	2.53876		
1995	pollock	NMFS spring BTS	3.582	1.6314		
1996	pollock	NMFS spring BTS	0.636	1.8623		
1997	pollock	NMFS spring BTS	3.535	1.63821		
1998	pollock	NMFS spring BTS	2.657	1.28724		
1999	pollock	NMFS spring BTS	2.222	0.63174		
2000	pollock	NMFS spring BTS	1.404	1.1579		
2001	pollock	NMFS spring BTS	1.716	1.64557		
2002	pollock	NMFS spring BTS	0.721	2.43445		
2003	pollock	NMFS spring BTS	1.443	0.71989		
2004	pollock	NMFS spring BTS	0.472	1.46073		
2005	pollock	NMFS spring BTS	2.166	2.68609		
2006	pollock	NMFS spring BTS	0.944	3.08467		
2007	pollock	NMFS spring BTS	2.094	2.45245		
2008	pollock	NMFS spring BTS	2.042	3.73624		
2009	pollock	NMFS spring BTS	0.951	2.22616		
2010	pollock	NMFS spring BTS	1.214	1.37943		
2011	pollock	NMFS spring BTS	3.149	2.49978		
2012	pollock	NMFS spring BTS	0.954	2.0817		
2013	pollock	NMFS spring BTS	0.814	2.41185		
2014	pollock	NMFS spring BTS	1.383	1.70005		
1968	GBcod	NMFS fall BTS	3.3	8.5		
1969	GBcod	NMFS fall BTS	2.2	8		
1970	GBcod	NMFS fall BTS	5.1	12.6		
1971	GBcod	NMFS fall BTS	3.2	9.8		
1972	GBcod	NMFS fall BTS	13.1	23		
1973	GBcod	NMFS fall BTS	12.3	30.8		
1974	GBcod	NMFS fall BTS	3.5	8.2		
1975	GBcod	NMFS fall BTS	6.4	14.1		
1976	GBcod	NMFS fall BTS	10.4	17.7		
1977	GBcod	NMFS fall BTS	5.4	12.5		
1978	GBcod	NMFS fall BTS	8.6	23.3		
1979	GBcod	NMFS fall BTS	5.9	16.5		
1980	GBcod	NMFS fall BTS	2.9	6.7		
1981	GBcod	NMFS fall BTS	9.1	20.3		
1982	GBcod	NMFS fall BTS	3.3	6.1		
1983	GBcod	NMFS fall BTS	4.1	7.4		
